iteration,rewards,learning rate,policy_loss,value_loss,entropy_loss
1,-47486.2,0.0003,-0.0174437,700265,2.76807
2,-47035.2,0.000297,0.0073798,822774,2.76106
3,-49118.1,0.000294,0.0163737,912494,2.73229
4,-46809,0.000291,-0.0831197,416399,2.74412
5,-45380.4,0.000288,0.022138,686296,2.7454
6,-46439.3,0.000285,-0.108257,473706,2.68918
7,-45426.1,0.000282,-0.0849962,750462,2.71265
8,-44762.5,0.000279,0.0564672,865217,2.66744
9,-41390.4,0.000276,0.100733,365792,2.59328
10,-40500,0.000273,-0.0483233,547955,2.44494
11,-37973.9,0.00027,0.0876824,329552,2.37994
12,-37285.3,0.000267,-0.120525,279946,2.33843
13,-35288.8,0.000264,-0.00512056,256682,2.4223
14,-34363.6,0.000261,0.0261017,454726,2.12772
15,-33716.4,0.000258,0.0714193,198837,2.20638
16,-30939.5,0.000255,0.0773812,408327,2.2298
17,-31892.6,0.000252,0.00884927,205454,1.96653
18,-31094.7,0.000249,-0.0998714,354417,1.97457
19,-30385.7,0.000246,-0.0706771,263781,1.92109
20,-28851.9,0.000243,-0.0197459,315922,1.96339
21,-27805,0.00024,-0.0486628,341809,1.41365
22,-28043,0.000237,-0.0692292,273783,1.83082
23,-28075.5,0.000234,-0.0976731,81812.5,1.24966
24,-26150.1,0.000231,-0.0802534,294931,1.19894
25,-26055.2,0.000228,0.146256,211802,1.73062
26,-26458.3,0.000225,0.0305475,252813,1.66057
27,-25666.4,0.000222,0.00553376,182583,1.29193
28,-25598.2,0.000219,-0.0765671,255692,1.55914
29,-25064.6,0.000216,0.0392186,212786,1.51651
30,-24231.5,0.000213,0.102854,181009,2.00504
31,-24161,0.00021,0.101354,171948,1.03663
32,-24046.4,0.000207,-0.0719709,113265,1.2017
33,-24481.2,0.000204,0.0655171,213639,1.29796
34,-25279.4,0.000201,0.0727346,295103,1.84174
35,-22425.4,0.000198,0.112034,191327,1.19929
36,-23322.8,0.000195,-0.00296307,192076,1.1049
37,-22653.2,0.000192,-0.00675857,156773,0.999253
38,-24262.7,0.000189,-0.00821653,159808,1.01509
39,-24688.4,0.000186,-0.0999234,216285,1.58982
40,-21964.8,0.000183,-0.0754436,196820,1.32949
41,-22542.6,0.00018,0.292426,141322,0.985893
42,-24921.1,0.000177,0.0425108,308540,1.48221
43,-25241.4,0.000174,0.0619614,222211,1.17312
44,-23368.8,0.000171,0.0655099,153687,1.16812
45,-21878.1,0.000168,-0.0147779,89531.9,0.69045
46,-23498.4,0.000165,0.160195,199056,1.03478
47,-22154.2,0.000162,0.0604011,99493.7,1.635
48,-24995.7,0.000159,-0.0631728,192040,1.65325
49,-22899.6,0.000156,-0.016663,119050,0.877934
50,-24016.7,0.000153,-0.106083,154503,1.42357
