iteration,rewards,learning rate,policy_loss,value_loss,entropy_loss
1,-38204.7,0.0003,-0.0412064,447276,2.76848
2,-36591.1,0.000297,-0.00149867,634005,2.77051
3,-35799.7,0.000294,0.0531127,768476,2.7532
4,-35658,0.000291,-0.02899,451861,2.73548
5,-33227.9,0.000288,-0.0886016,509280,2.71217
6,-33700.8,0.000285,-0.0873772,408355,2.6694
7,-35028.9,0.000282,0.0789334,578440,2.66949
8,-31828.5,0.000279,0.00969861,217636,2.54057
9,-31611.7,0.000276,0.047923,146662,2.52264
10,-31334.5,0.000273,-0.0410962,370481,2.52931
11,-28472.1,0.00027,-0.048982,113312,2.41958
12,-28936.5,0.000267,0.0199545,152147,2.36059
13,-27753.8,0.000264,-0.061095,294728,2.59437
14,-26863.5,0.000261,-0.0760343,358571,2.09472
15,-25054.6,0.000258,-0.0286116,227344,2.11372
16,-24193.8,0.000255,-0.0997859,215626,2.37067
17,-24610.9,0.000252,-0.104391,196294,2.1662
18,-23179,0.000249,-0.0786674,67658.1,1.56133
19,-21485.1,0.000246,-0.0314932,201964,1.93668
20,-21761.4,0.000243,0.0320763,183759,1.30609
21,-20588,0.00024,-0.0582449,173077,1.92793
22,-19878.7,0.000237,-0.033326,196458,1.85889
23,-20547.3,0.000234,0.119467,96482.8,1.66005
24,-18458.5,0.000231,-0.0533343,162664,1.45558
25,-19688.8,0.000228,-0.012098,125871,0.996688
26,-18445.1,0.000225,0.0125979,70996.4,0.914793
27,-18183.9,0.000222,0.0435651,96642.1,1.57509
28,-18344.9,0.000219,-0.0254164,127024,1.17248
29,-17586.6,0.000216,-0.0778998,116835,1.19817
30,-17770,0.000213,-0.0070718,84074.2,1.44474
31,-18208.8,0.00021,-0.0827774,85327.1,1.18619
32,-17073.4,0.000207,0.00233012,88412.1,1.43411
33,-17218,0.000204,-0.0523702,113630,1.05398
34,-18057.5,0.000201,-0.0745212,129509,1.30492
35,-18376.2,0.000198,-0.064089,114457,1.3106
36,-16942,0.000195,-0.109221,89326,1.42421
37,-16460.8,0.000192,-0.0135091,124366,1.80861
38,-17936.5,0.000189,-0.0378593,81126.6,1.35886
39,-17706.7,0.000186,-0.0601193,94189.7,1.4101
40,-17537,0.000183,0.0322352,42484.3,1.57135
41,-16316.6,0.00018,0.0616992,44885.9,0.95639
42,-17065.9,0.000177,-0.0256805,36732,0.497413
43,-16335.1,0.000174,-0.0430433,96982.4,1.13163
44,-17678.4,0.000171,0.0529249,127872,1.45426
45,-16931.3,0.000168,0.0272615,103219,1.51448
46,-18049.2,0.000165,-0.0657418,99726.7,1.80929
47,-16751.7,0.000162,-0.0115434,112039,0.772557
48,-18090.8,0.000159,0.00709269,117496,1.73101
49,-14694.1,0.000156,0.116091,85674.2,1.09991
50,-15358,0.000153,0.0188747,83351.7,1.46272
