iteration,rewards,learning rate,policy_loss,value_loss,entropy_loss
1,-37333.8,0.0003,-0.00231333,392140,2.7725
2,-36589.1,0.0002997,-0.00272189,438882,2.76627
3,-35673.5,0.0002994,-0.00945919,399293,2.77101
4,-36202.5,0.0002991,-0.0338656,490453,2.75802
5,-34896.8,0.0002988,0.0116184,432761,2.74321
6,-36165.2,0.0002985,-0.0023961,427321,2.71514
7,-34885.5,0.0002982,-0.0164774,452588,2.74565
8,-35537.8,0.0002979,-0.0217572,481009,2.74672
9,-36711.6,0.0002976,-0.00445372,374228,2.7267
10,-34561.8,0.0002973,-0.00251758,388494,2.70674
11,-35469.5,0.000297,-0.00264268,390643,2.69554
12,-33842.9,0.0002967,-0.00857905,428417,2.6339
13,-34715.2,0.0002964,-0.0256435,393903,2.67204
14,-34280.3,0.0002961,-0.000954511,400876,2.63166
15,-35050.1,0.0002958,0.00487879,443089,2.68682
16,-35398.9,0.0002955,-0.0110276,332030,2.6468
17,-33681.4,0.0002952,-0.00392962,339028,2.66983
18,-32839.2,0.0002949,0.0215958,350367,2.71112
19,-35721.5,0.0002946,-0.0293796,471890,2.68013
20,-34818.8,0.0002943,-0.0138179,423086,2.67315
21,-34425.1,0.000294,0.0250867,413848,2.61551
22,-33998.5,0.0002937,-0.0307467,324902,2.56857
23,-33582.1,0.0002934,-0.0380118,364089,2.52089
24,-33438.6,0.0002931,0.0611251,320260,2.41251
25,-33441.9,0.0002928,-0.0382801,337265,2.43907
26,-32551.1,0.0002925,-0.0308385,283744,2.29352
27,-30990.1,0.0002922,-0.00147792,311528,2.26107
28,-30704.2,0.0002919,-0.0235845,228745,2.21153
29,-31051.4,0.0002916,0.00790835,251510,2.18198
30,-29799,0.0002913,0.0254438,250776,1.98753
31,-30881.7,0.000291,-0.0367499,230045,2.14611
32,-29285.1,0.0002907,0.00446927,219562,2.19896
33,-29475.7,0.0002904,-0.01478,212802,2.01662
34,-27396.9,0.0002901,-0.0689576,195420,1.73951
35,-26037.8,0.0002898,0.0147034,157899,1.89637
36,-26618,0.0002895,0.0015197,164852,1.86117
37,-26087.3,0.0002892,-0.0165996,164100,1.47189
38,-25118.4,0.0002889,-0.0457594,183907,1.44787
39,-25043.1,0.0002886,-0.00858214,164311,1.3907
40,-24119.7,0.0002883,-0.0415959,142186,1.28937
41,-22471.6,0.000288,0.0176326,138644,1.58978
42,-21469.5,0.0002877,-0.0228263,124120,1.07861
43,-22071.9,0.0002874,-0.0357642,143009,1.03995
44,-22299.4,0.0002871,-0.00812723,126883,1.33728
45,-22097.7,0.0002868,-0.0274301,141337,0.990024
