iteration,rewards,learning rate,policy_loss,value_loss,entropy_loss
1,-36865.9,0.0003,0.00359304,422202,2.77256
2,-36449.8,0.0002997,-0.0121568,460666,2.77223
3,-36699.5,0.0002994,0.0144122,420580,2.7688
4,-35256.3,0.0002991,-0.00451881,453170,2.75256
5,-36669.5,0.0002988,-0.00581089,453650,2.74035
6,-36548.9,0.0002985,0.00708341,446626,2.75738
7,-36827.4,0.0002982,0.0188601,535503,2.74805
8,-36405.6,0.0002979,-0.00873803,454300,2.72271
9,-35862.9,0.0002976,0.000651617,469183,2.73581
10,-36637.2,0.0002973,0.0124478,336222,2.7372
11,-35741.1,0.000297,-0.0185669,468815,2.75919
12,-36661.8,0.0002967,-0.00954944,461548,2.73609
13,-36391.4,0.0002964,-0.0204148,542534,2.70933
14,-35795.5,0.0002961,-0.0186851,410938,2.62234
15,-35305.2,0.0002958,-0.0351872,404853,2.6427
16,-35153.3,0.0002955,-0.0150275,344261,2.6353
17,-35429.8,0.0002952,-0.00528133,361870,2.62921
18,-34766.4,0.0002949,-0.0302735,443531,2.6301
19,-33558.5,0.0002946,-0.0193744,302896,2.57683
20,-33340.9,0.0002943,0.0147141,361315,2.37672
21,-33937.6,0.000294,-0.0159518,334322,2.49205
22,-33838.3,0.0002937,0.0297864,312122,2.39879
23,-33883.8,0.0002934,-0.0538839,301293,2.39308
24,-32873.4,0.0002931,-0.0072259,311269,2.20044
25,-31914.9,0.0002928,-0.0181168,295708,2.31295
26,-31509.4,0.0002925,-0.0222555,275798,2.07772
27,-31280.1,0.0002922,-0.0103711,285627,2.10794
28,-30645,0.0002919,-0.0207018,294425,2.26247
29,-30370.9,0.0002916,-0.0257035,228086,2.17203
30,-30153,0.0002913,-0.0170052,225357,2.05709
31,-31659.1,0.000291,-0.021586,281514,1.87297
32,-29423.2,0.0002907,0.0220467,240610,1.80895
33,-28405.9,0.0002904,-0.00202245,200267,1.92448
34,-28405.7,0.0002901,0.00575898,191704,1.78752
35,-28010.4,0.0002898,0.00221477,210540,1.59572
36,-27299.7,0.0002895,-0.0347934,180327,1.76679
37,-28552,0.0002892,-0.00412174,259510,1.80178
38,-25862.1,0.0002889,-0.033523,163236,1.60236
39,-25497.4,0.0002886,-0.0293838,158817,1.28484
40,-24203.6,0.0002883,-0.0387509,166623,1.42123
41,-23160.5,0.000288,-0.0167291,114592,1.49907
42,-23056.3,0.0002877,-0.0293696,125880,1.3051
43,-23199.7,0.0002874,-0.0275117,134238,1.28334
44,-20108,0.0002871,0.00438631,80927.2,1.46489
45,-21284.3,0.0002868,0.0212528,100372,1.29483
46,-21588.4,0.0002865,0.00716329,131941,1.42569
47,-21210.7,0.0002862,-0.0685893,92002.4,1.26124
48,-20298,0.0002859,-0.0136055,103104,1.27746
49,-19420.3,0.0002856,-0.00458772,71323.8,1.37408
50,-19070.8,0.0002853,0.0119657,53707,0.745028
51,-18663.8,0.000285,-0.00167557,68798.7,1.0989
52,-18098.6,0.0002847,-0.0240777,72319.6,0.996237
53,-18920,0.0002844,-0.0251808,79746.7,0.826464
54,-16779.6,0.0002841,-0.00546856,62780.3,1.10749
55,-18479.9,0.0002838,0.0283564,63819.7,1.05027
56,-18559.3,0.0002835,-0.014893,82816.8,0.992348
57,-18175.7,0.0002832,-0.0425579,54485.6,1.04362
58,-16818.7,0.0002829,-0.000216777,49665,0.94057
59,-17630.9,0.0002826,-0.0468056,51781.5,0.693318
60,-17050.2,0.0002823,-0.0147823,48661.6,0.858406
61,-16769.8,0.000282,-0.00964165,52699.8,0.925676
62,-15876.3,0.0002817,0.00619461,36380.4,0.585564
63,-16632.1,0.0002814,0.00172333,40127.2,0.610082
64,-17316.9,0.0002811,0.0174165,48515.1,0.793164
65,-16563.6,0.0002808,0.0110288,47054,0.609393
66,-16540.6,0.0002805,-0.0174362,52344.5,0.631923
67,-16387.8,0.0002802,-0.0389105,49975.2,0.763639
68,-15586.2,0.0002799,-0.00243474,31769.7,0.563052
69,-15091.3,0.0002796,-0.0238108,31194,0.781848
70,-16094.2,0.0002793,-0.000583031,43681.7,0.665813
71,-17265.3,0.000279,0.00861984,48202.1,0.618534
72,-17061.9,0.0002787,0.00895682,66191.8,0.751722
73,-17536.2,0.0002784,-0.0183925,38010.7,0.825544
74,-16870,0.0002781,-0.0195017,37630.8,0.782924
75,-16417.3,0.0002778,-0.0388941,39549.3,0.732825
76,-15733.4,0.0002775,-0.0377808,40217.8,0.730397
77,-16179.2,0.0002772,-0.00706433,31031.5,0.617239
78,-16082.6,0.0002769,-0.0183601,42207.6,0.66292
79,-14903.9,0.0002766,0.00187973,27750.8,0.552667
80,-16011.8,0.0002763,0.00386174,30363.5,0.684966
81,-16128.3,0.000276,0.0067985,34348.2,0.753271
82,-16620.2,0.0002757,-0.00430427,32221.8,0.520598
83,-15921.5,0.0002754,0.00816892,34774.8,0.469205
84,-16519,0.0002751,-0.0328872,34744.7,0.63868
85,-15783,0.0002748,-0.0143643,33848.8,0.655674
86,-15835,0.0002745,-0.0307816,34828.8,0.885393
87,-15396.1,0.0002742,-0.0350707,30542.1,0.561189
88,-15000,0.0002739,0.00533556,26084.4,0.567481
89,-16324.6,0.0002736,-0.0264315,35119.5,0.544168
90,-15931,0.0002733,-0.0412171,30855.1,0.788824
