iteration,rewards,learning rate,policy_loss,value_loss,entropy_loss
1,-38165.5,0.0003,0.00264416,394557,2.77254
2,-36710.8,0.0002997,0.00162603,461710,2.77234
3,-36692.8,0.0002994,-0.00124444,453140,2.77229
4,-36761.7,0.0002991,0.00446207,490238,2.76743
5,-36818.7,0.0002988,-0.0143963,469382,2.75598
6,-37660.1,0.0002985,-0.0184618,495741,2.74585
7,-36709,0.0002982,-0.00837247,525224,2.71956
8,-36618.1,0.0002979,0.0150212,382792,2.69958
9,-36646,0.0002976,-0.00182206,434708,2.67748
10,-36600.2,0.0002973,-0.030507,407915,2.607
11,-36362.6,0.000297,-0.0220511,492986,2.56376
12,-35952.6,0.0002967,-0.0324629,424219,2.5908
13,-35116.9,0.0002964,0.0296423,397864,2.6388
14,-36693.3,0.0002961,0.00186163,469620,2.67608
15,-36667,0.0002958,-0.0362122,416255,2.67613
16,-36204.8,0.0002955,-0.0134441,491246,2.64358
17,-35691.2,0.0002952,-0.00384046,319657,2.58834
18,-35955,0.0002949,0.0137976,471076,2.5464
19,-34201.8,0.0002946,-0.0323295,342888,2.46176
20,-33171.6,0.0002943,-0.00892694,364934,2.56936
21,-33715.6,0.000294,-0.0562872,359501,2.42482
22,-32359,0.0002937,-0.00667494,305564,2.36003
23,-31187,0.0002934,0.0144229,306169,2.2527
24,-31018.2,0.0002931,-0.0162097,257442,2.35385
25,-30083.4,0.0002928,-0.0222853,294473,2.21202
26,-28212.6,0.0002925,-0.0340655,258526,2.12613
27,-26672.7,0.0002922,-0.0241749,230343,2.08574
28,-26460.6,0.0002919,-0.0390164,176499,1.9221
29,-23660.1,0.0002916,-0.0415333,158789,1.77675
30,-24893.8,0.0002913,0.00414196,197266,1.53064
31,-25400.7,0.000291,-0.0294674,146581,1.64298
32,-23715.2,0.0002907,0.00645922,129868,1.31912
33,-20862.8,0.0002904,-0.010399,123881,1.35663
34,-21204.5,0.0002901,-0.0209367,140940,1.31525
35,-21759.6,0.0002898,-0.0113263,123867,1.14338
36,-21000.6,0.0002895,-0.0157298,127540,1.05048
37,-21701.9,0.0002892,-0.034729,122101,0.91405
38,-18503.3,0.0002889,-0.0379489,76561.9,1.09214
39,-19253.9,0.0002886,-0.00190695,99553.9,0.932128
40,-18281.3,0.0002883,-0.013775,74843.8,0.818573
41,-18916.7,0.000288,-0.0254434,66210.6,0.685118
42,-18746.3,0.0002877,0.0309313,97767.8,0.874404
43,-18022.4,0.0002874,-0.0134361,71971.2,0.71544
44,-18362.4,0.0002871,-0.00726602,74989.6,0.693639
45,-18180,0.0002868,-0.010704,77181.6,0.683917
46,-20026.7,0.0002865,0.0158823,87630.1,0.808765
47,-19655.6,0.0002862,-0.0173105,90186.2,1.05234
48,-19502.5,0.0002859,-0.0238097,110247,0.709049
49,-19328.2,0.0002856,0.0028778,85220.9,0.874664
50,-18378.8,0.0002853,0.00397948,85825.9,0.94531
51,-19072,0.000285,0.00438552,67793.6,1.0857
52,-19043.4,0.0002847,0.0160847,86812.8,0.90607
53,-18461.1,0.0002844,-0.00460623,72995.3,0.878378
54,-19181.7,0.0002841,-0.0161904,75824.9,0.913074
55,-18559.4,0.0002838,-0.0312508,90593.3,0.812977
56,-17272.4,0.0002835,-0.0153422,70444.4,0.765518
57,-17949,0.0002832,0.0146486,79872.9,1.01038
58,-17207.7,0.0002829,0.0256907,60694.1,0.853512
59,-19100.8,0.0002826,-0.0129728,91488.5,0.894159
60,-17898,0.0002823,-0.00813403,70682.1,0.893656
61,-17488.6,0.000282,-0.00812014,65588.6,0.764417
62,-18062.4,0.0002817,-0.0204061,78818.1,0.820916
63,-17603.5,0.0002814,0.0236692,69255.9,0.78354
64,-16882.4,0.0002811,-0.00452334,61237.2,0.88333
65,-17890.4,0.0002808,0.00819007,54433.3,0.789144
66,-16914.4,0.0002805,-0.0108105,54016.4,0.74824
67,-17376.9,0.0002802,-0.00141033,52096.4,0.665452
68,-17988.8,0.0002799,-0.0205847,56200.3,0.637796
69,-16938.8,0.0002796,-0.00333172,56842.9,0.605148
70,-16930.4,0.0002793,-0.0127224,56897.2,0.593166
71,-17406.1,0.000279,-0.00245026,64715.5,0.940292
72,-16398.1,0.0002787,-0.0308557,45419.6,0.831718
73,-16863.8,0.0002784,-0.00855234,61354.1,0.445069
74,-17380.5,0.0002781,-0.0237064,46047.7,0.718882
75,-16048.6,0.0002778,0.0275524,39357.7,0.758746
76,-17106.6,0.0002775,-0.0410527,63663.9,0.781981
77,-17233.8,0.0002772,-0.0089158,64358.7,0.610955
78,-18207.1,0.0002769,0.0193161,67295.3,0.665384
79,-17444,0.0002766,-0.0223119,60819.8,0.592207
80,-17125.2,0.0002763,-0.023158,54034.4,0.512776
81,-17376.2,0.000276,0.0224857,53867.4,0.542466
82,-17078.1,0.0002757,-0.0342666,61849.6,0.568401
83,-17385.9,0.0002754,0.0227254,61113.1,0.464103
84,-17049.9,0.0002751,0.000118374,45457,0.586343
85,-17078.7,0.0002748,-0.015079,47177.7,0.523217
86,-18149.3,0.0002745,-0.0191834,60373.1,0.649581
87,-16868.2,0.0002742,-0.0164352,45146.5,0.830563
88,-17832.5,0.0002739,0.0117377,49707,0.734616
89,-17619.3,0.0002736,-0.0105719,50007,0.885213
90,-18565.1,0.0002733,-0.00107838,56706.1,0.917334
91,-17968.4,0.000273,-0.0376261,43033.7,0.856872
92,-17932.7,0.0002727,-0.0345466,53504.8,0.729402
93,-17719.8,0.0002724,-0.0112552,55950,0.812754
94,-16460.8,0.0002721,0.00670995,44186.6,0.756533
95,-17950.2,0.0002718,-0.0334803,51112.4,0.5944
96,-17197.3,0.0002715,0.0092297,55757.7,0.986808
97,-17436.9,0.0002712,0.0210645,45535.4,0.935981
98,-17840.1,0.0002709,-0.0124284,42259.5,0.909755
99,-17169,0.0002706,0.00533787,43126.2,0.94557
100,-17256.8,0.0002703,0.000387984,41130.2,0.642229
