iteration,rewards,learning rate,policy_loss,value_loss,entropy_loss
1,-37438.2,0.0003,-0.0288723,428987,2.76892
2,-35834.7,0.000297,-0.00660358,458816,2.77116
3,-37787.1,0.000294,-0.011354,568511,2.7609
4,-35647.9,0.000291,-0.0498914,649286,2.7526
5,-35893,0.000288,-0.0513005,559882,2.71755
6,-34463.8,0.000285,0.0545939,518482,2.68472
7,-34058.3,0.000282,-0.125896,348356,2.6995
8,-33364.7,0.000279,0.093486,453385,2.66878
9,-30449.2,0.000276,0.0121094,242917,2.5155
10,-31738.9,0.000273,-0.0458289,405192,2.49601
11,-28910.9,0.00027,-0.0293058,320160,2.4956
12,-29705,0.000267,-0.050375,307216,2.4755
13,-29180,0.000264,0.100951,273314,2.22859
14,-28325.4,0.000261,-0.0818492,225149,2.45536
15,-27485,0.000258,-0.00495223,259092,2.28238
16,-25491.9,0.000255,-0.0586659,132656,1.95036
17,-24731.7,0.000252,0.00368058,38301.8,1.97603
18,-25084.4,0.000249,-0.0680129,317764,2.08227
19,-22434.4,0.000246,0.0398602,107906,1.89324
20,-23433.9,0.000243,-0.0398065,225585,1.97153
21,-22672.8,0.00024,-0.0501394,150864,1.59542
22,-20839.4,0.000237,-0.117571,180897,1.53782
23,-20344.2,0.000234,-0.0280071,120314,1.67134
24,-20456.8,0.000231,-0.0172248,110094,1.89892
25,-20534,0.000228,-0.0353716,106116,1.08707
26,-19205.3,0.000225,-0.0833771,173358,1.44662
27,-19744.3,0.000222,-0.0148825,147007,1.26324
28,-19255,0.000219,-0.0260298,110536,0.591426
29,-18780.7,0.000216,0.027221,83856.6,1.28491
30,-18037.3,0.000213,0.0971075,61142.4,0.621759
31,-18767,0.00021,0.0145509,104517,1.55579
32,-18524.1,0.000207,0.00619985,113674,1.17211
33,-18332.6,0.000204,-0.0688497,100425,0.964139
34,-17736.4,0.000201,-0.0554865,49578.5,0.89019
35,-18465.4,0.000198,-0.0346989,80721.7,0.847407
36,-18396.8,0.000195,0.0821268,99843.2,0.448928
37,-18013.3,0.000192,-0.0143502,70305.7,1.13104
38,-19614.7,0.000189,0.00868145,133116,0.471224
39,-18147.4,0.000186,0.00173203,116371,1.00394
40,-17911.3,0.000183,0.000454462,93236.1,1.23576
41,-18178,0.00018,-0.0102469,92919.8,1.1472
42,-17535,0.000177,-0.0861097,109372,1.42004
43,-16756.9,0.000174,0.0264999,79983.8,1.25271
44,-19467.7,0.000171,0.0698538,82710.7,0.74726
45,-17420.9,0.000168,0.150259,138473,1.4771
46,-18961.8,0.000165,-0.00674112,30069.1,0.874784
47,-17378.2,0.000162,-0.011225,79692.3,0.74168
48,-16996.7,0.000159,-0.0600963,52167.2,0.506399
49,-16578.3,0.000156,-0.0118152,63922.4,0.855119
50,-17526.8,0.000153,0.0370143,42353,0.651656
